"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.11.2020","87,664","78,945","88,519","76,950","181,16M","11,11%"
"29.11.2020","78,901","72,676","81,045","71,528","170,01M","8,55%"
"28.11.2020","72,683","69,167","74,882","68,310","159,60M","5,11%"
"27.11.2020","69,147","70,980","73,508","65,490","183,09M","-2,53%"
"26.11.2020","70,939","81,743","83,196","64,511","254,54M","-13,25%"
"25.11.2020","81,772","89,272","90,738","78,143","199,55M","-8,36%"
"24.11.2020","89,231","89,060","93,952","85,525","233,15M","0,15%"
"23.11.2020","89,098","82,831","90,843","80,976","218,88M","7,50%"
"22.11.2020","82,883","87,190","87,948","77,987","200,03M","-4,90%"
"21.11.2020","87,149","82,579","88,379","80,488","8,26M","5,63%"
"20.11.2020","82,505","81,520","85,518","80,101","8,70M","1,20%"
"19.11.2020","81,527","73,354","83,186","71,489","9,07M","11,11%"
"18.11.2020","73,376","76,225","77,061","68,289","9,78M","-3,93%"
"17.11.2020","76,375","73,751","76,961","71,414","8,21M","3,62%"
"16.11.2020","73,705","62,308","74,613","62,084","10,44M","18,25%"
"15.11.2020","62,332","63,799","64,447","61,045","9,45M","-2,28%"
"14.11.2020","63,787","65,923","66,326","61,690","7,82M","-3,23%"
"13.11.2020","65,913","60,755","66,668","60,149","10,23M","8,51%"
"12.11.2020","60,744","59,224","60,744","57,593","7,25M","2,40%"
"11.11.2020","59,320","57,939","60,546","57,756","8,68M","2,55%"
"10.11.2020","57,843","59,252","59,611","57,082","6,95M","-2,34%"
"09.11.2020","59,232","61,005","61,869","57,424","7,51M","-2,94%"
"08.11.2020","61,027","58,862","61,992","58,565","5,92M","3,69%"
"07.11.2020","58,856","63,260","64,761","57,152","9,12M","-6,77%"
"06.11.2020","63,130","58,892","63,659","58,611","7,77M","7,07%"
"05.11.2020","58,961","54,632","59,669","54,581","8,33M","7,98%"
"04.11.2020","54,603","53,892","55,223","51,585","9,08M","1,33%"
"03.11.2020","53,888","53,769","54,393","51,502","9,66M","0,14%"
"02.11.2020","53,815","55,572","56,815","53,086","13,82M","-3,27%"
"01.11.2020","55,636","55,732","56,223","54,131","7,27M","-0,17%"
"31.10.2020","55,730","54,037","56,449","53,594","7,31M","3,16%"
"30.10.2020","54,023","54,969","55,781","52,281","8,10M","-1,66%"
"29.10.2020","54,937","55,752","56,541","53,425","9,75M","-1,61%"
"28.10.2020","55,838","57,894","60,568","54,715","9,67M","-3,50%"
"27.10.2020","57,861","56,848","59,103","56,445","12,08M","1,82%"
"26.10.2020","56,826","58,852","59,330","55,076","12,76M","-3,44%"
"25.10.2020","58,852","59,266","60,025","56,560","14,02M","-0,69%"
"24.10.2020","59,263","55,431","59,610","54,818","13,89M","6,91%"
"23.10.2020","55,431","54,348","56,964","53,112","11,95M","2,00%"
"22.10.2020","54,346","52,956","56,267","52,956","10,32M","2,52%"
"21.10.2020","53,012","46,905","54,977","46,851","13,47M","13,02%"
"20.10.2020","46,905","48,015","48,446","46,450","8,44M","-2,28%"
"19.10.2020","47,997","47,549","48,453","46,791","6,96M","1,00%"
"18.10.2020","47,520","46,948","47,869","46,791","30,58M","1,18%"
"17.10.2020","46,968","47,586","47,644","46,331","20,21M","-1,29%"
"16.10.2020","47,581","49,557","49,857","45,624","9,54M","-3,97%"
"15.10.2020","49,549","49,833","50,204","48,871","15,54M","-0,53%"
"14.10.2020","49,814","49,894","50,987","49,279","10,68M","-0,15%"
"13.10.2020","49,892","50,605","50,682","48,851","8,48M","-1,41%"
"12.10.2020","50,605","50,506","51,515","49,336","11,75M","0,30%"
"11.10.2020","50,455","48,888","51,243","48,661","12,34M","3,26%"
"10.10.2020","48,861","47,761","50,549","47,743","16,43M","2,25%"
"09.10.2020","47,787","47,198","48,205","46,601","9,94M","1,30%"
"08.10.2020","47,172","46,569","47,467","45,512","11,62M","1,23%"
"07.10.2020","46,596","45,982","46,927","45,009","11,63M","1,34%"
"06.10.2020","45,982","46,332","48,267","45,550","15,51M","-0,77%"
"05.10.2020","46,340","46,663","47,056","45,532","13,47M","-0,78%"
"04.10.2020","46,707","45,492","47,029","45,272","11,30M","2,61%"
"03.10.2020","45,518","44,917","45,976","44,726","9,79M","1,39%"
"02.10.2020","44,892","46,237","46,959","43,299","10,49M","-2,99%"
"01.10.2020","46,276","46,266","48,477","45,324","14,41M","0,04%"
"30.09.2020","46,258","45,697","46,714","45,423","10,93M","1,23%"
"29.09.2020","45,697","45,195","45,857","44,953","11,04M","1,00%"
"28.09.2020","45,246","46,042","47,120","44,851","10,51M","-1,81%"
"27.09.2020","46,078","46,019","46,538","44,582","19,53M","0,07%"
"26.09.2020","46,047","46,002","46,540","45,179","18,32M","0,05%"
"25.09.2020","46,025","44,947","46,556","43,962","8,88M","2,40%"
"24.09.2020","44,947","42,978","45,182","42,582","14,85M","4,65%"
"23.09.2020","42,950","44,453","45,130","42,310","7,59M","-3,43%"
"22.09.2020","44,478","43,148","44,787","42,792","10,24M","3,08%"
"21.09.2020","43,147","47,118","47,656","41,932","10,77M","-8,35%"
"20.09.2020","47,076","48,492","48,527","46,201","9,82M","-2,92%"
"19.09.2020","48,492","48,539","48,989","47,952","10,23M","-0,13%"
"18.09.2020","48,557","48,832","49,067","47,529","10,95M","-0,62%"
"17.09.2020","48,858","47,762","49,542","47,629","8,62M","2,36%"
"16.09.2020","47,730","48,294","48,734","46,997","9,69M","-1,21%"
"15.09.2020","48,316","49,114","50,280","48,127","8,99M","-1,56%"
"14.09.2020","49,081","48,153","49,618","47,133","10,63M","1,92%"
"13.09.2020","48,156","50,833","51,020","47,316","9,46M","-5,26%"
"12.09.2020","50,828","48,927","51,309","48,374","14,21M","3,88%"
"11.09.2020","48,927","48,669","49,395","47,430","12,74M","0,53%"
"10.09.2020","48,669","47,833","49,429","47,785","13,86M","1,75%"
"09.09.2020","47,834","47,460","48,815","46,540","12,84M","0,79%"
"08.09.2020","47,458","48,839","49,337","46,035","15,52M","-2,83%"
"07.09.2020","48,839","47,910","49,137","45,262","14,21M","1,93%"
"06.09.2020","47,914","47,812","49,137","46,303","13,79M","0,21%"
"05.09.2020","47,812","50,364","51,241","45,562","17,37M","-5,05%"
"04.09.2020","50,353","47,470","52,364","46,612","16,21M","6,13%"
"03.09.2020","47,444","58,060","58,600","45,646","16,63M","-18,32%"
"02.09.2020","58,087","62,697","63,168","56,658","14,91M","-7,40%"
"01.09.2020","62,730","60,957","64,273","59,857","13,69M","2,91%"
"31.08.2020","60,957","62,870","63,677","60,588","14,61M","-3,04%"
"30.08.2020","62,870","56,952","62,883","56,931","14,95M","10,39%"
"29.08.2020","56,952","57,410","58,188","56,952","11,65M","-0,80%"
"28.08.2020","57,412","56,083","58,184","55,334","13,96M","2,38%"
"27.08.2020","56,076","58,087","59,232","54,046","12,69M","-3,46%"
"26.08.2020","58,087","58,347","59,062","57,028","11,47M","-0,45%"
"25.08.2020","58,349","62,090","62,292","56,687","13,87M","-6,03%"
"24.08.2020","62,092","60,546","62,987","59,973","12,77M","2,57%"
"23.08.2020","60,537","60,228","61,605","58,051","12,58M","0,51%"
"22.08.2020","60,228","59,181","60,497","57,789","12,52M","1,82%"
"21.08.2020","59,152","62,783","63,871","58,815","16,34M","-5,78%"
"20.08.2020","62,783","62,104","63,541","61,024","14,91M","1,09%"
"19.08.2020","62,105","65,447","67,108","58,961","17,51M","-5,11%"
"18.08.2020","65,450","67,199","68,354","63,636","20,15M","-2,60%"
"17.08.2020","67,198","63,881","68,877","61,552","20,20M","5,19%"
"16.08.2020","63,880","59,822","64,552","58,156","19,19M","6,70%"
"15.08.2020","59,868","56,679","60,593","56,600","18,73M","5,63%"
"14.08.2020","56,679","57,135","57,726","55,917","13,35M","-0,80%"
"13.08.2020","57,133","54,517","57,284","51,951","16,02M","4,80%"
"12.08.2020","54,516","54,102","55,018","51,726","15,00M","0,76%"
"11.08.2020","54,102","58,281","59,668","52,484","14,13M","-7,17%"
"10.08.2020","58,281","56,949","59,390","56,690","11,36M","2,34%"
"09.08.2020","56,949","58,445","58,667","56,098","5,79M","-2,56%"
"08.08.2020","58,446","57,186","58,531","56,489","6,58M","2,20%"
"07.08.2020","57,186","59,043","60,995","55,082","10,73M","-3,15%"
"06.08.2020","59,044","58,864","60,633","57,704","11,63M","0,31%"
"05.08.2020","58,864","57,601","59,760","56,885","10,76M","2,19%"
"04.08.2020","57,601","58,488","59,569","56,531","10,28M","-1,51%"
"03.08.2020","58,485","56,766","60,002","55,891","11,49M","3,04%"
"02.08.2020","56,760","61,637","65,098","52,585","20,58M","-7,91%"
"01.08.2020","61,637","58,160","62,217","57,561","16,69M","5,99%"
"31.07.2020","58,156","56,738","59,207","55,799","12,08M","2,50%"
"30.07.2020","56,737","55,170","58,529","53,987","17,69M","2,85%"
"29.07.2020","55,166","55,754","56,966","54,972","13,08M","-1,06%"
"28.07.2020","55,756","53,263","57,706","51,794","17,79M","4,69%"
"27.07.2020","53,258","48,072","55,630","47,001","19,59M","10,79%"
"26.07.2020","48,073","49,154","50,738","47,690","16,21M","-2,20%"
"25.07.2020","49,153","44,100","49,503","44,038","13,62M","11,46%"
"24.07.2020","44,100","44,939","44,959","43,951","6,61M","-1,87%"
"23.07.2020","44,939","44,984","45,644","44,522","10,99M","-0,10%"
"22.07.2020","44,983","43,786","45,090","43,206","7,85M","2,74%"
"21.07.2020","43,785","41,954","44,079","41,880","7,20M","4,37%"
"20.07.2020","41,954","42,633","42,802","41,486","6,78M","-1,62%"
"19.07.2020","42,647","42,468","42,884","41,840","6,69M","0,42%"
"18.07.2020","42,468","41,892","42,848","41,749","7,35M","1,38%"
"17.07.2020","41,892","42,081","42,464","41,723","8,70M","-0,45%"
"16.07.2020","42,081","43,350","43,501","40,967","9,11M","-2,93%"
"15.07.2020","43,350","43,896","44,070","42,900","9,51M","-1,24%"
"14.07.2020","43,896","43,943","44,045","42,859","17,61M","-0,06%"
"13.07.2020","43,922","44,737","45,586","42,741","24,85M","-1,82%"
"12.07.2020","44,737","44,696","45,251","43,745","23,41M","0,09%"
"11.07.2020","44,697","44,307","44,770","43,891","10,64M","0,88%"
"10.07.2020","44,307","44,367","44,595","43,486","11,40M","-0,14%"
"09.07.2020","44,368","45,333","45,866","43,587","11,85M","-2,16%"
"08.07.2020","45,348","43,364","45,599","43,074","13,32M","4,57%"
"07.07.2020","43,364","44,097","44,419","43,070","7,40M","-1,65%"
"06.07.2020","44,093","41,657","44,208","41,523","10,93M","5,85%"
"05.07.2020","41,657","42,077","42,166","40,812","5,62M","-1,00%"
"04.07.2020","42,077","41,211","42,172","41,120","5,75M","2,10%"
"03.07.2020","41,212","41,050","41,678","40,911","6,22M","0,39%"
"02.07.2020","41,050","41,728","41,900","40,391","7,11M","-1,63%"
"01.07.2020","41,728","41,194","41,964","41,016","6,19M","1,29%"
"30.06.2020","41,196","41,842","42,015","40,818","6,60M","-1,53%"
"29.06.2020","41,837","41,396","42,243","40,647","7,53M","1,07%"
"28.06.2020","41,396","41,077","42,013","40,474","6,89M","0,77%"
"27.06.2020","41,078","43,068","43,102","39,323","7,53M","-4,62%"
"26.06.2020","43,070","42,336","43,517","41,435","10,30M","1,72%"
"25.06.2020","42,341","42,625","42,982","41,795","7,73M","-0,67%"
"24.06.2020","42,625","44,167","44,648","42,219","9,24M","-3,50%"
"23.06.2020","44,171","44,292","44,486","43,907","4,65M","-0,27%"
"22.06.2020","44,292","42,996","44,634","42,943","7,06M","3,01%"
"21.06.2020","42,996","43,588","43,822","42,889","5,23M","-1,36%"
"20.06.2020","43,590","42,887","43,853","42,367","5,93M","1,64%"
"19.06.2020","42,887","43,444","43,676","42,740","4,66M","-1,28%"
"18.06.2020","43,444","44,080","44,210","42,871","6,38M","-1,45%"
"17.06.2020","44,083","43,868","44,705","43,085","8,15M","0,48%"
"16.06.2020","43,873","43,752","44,171","43,413","9,32M","0,28%"
"15.06.2020","43,752","44,047","44,073","41,858","11,28M","-0,65%"
"14.06.2020","44,039","45,107","45,118","43,602","7,30M","-2,36%"
"13.06.2020","45,104","44,742","45,183","44,304","7,81M","0,81%"
"12.06.2020","44,742","43,262","45,335","42,832","9,90M","3,44%"
"11.06.2020","43,252","46,657","46,927","42,161","12,48M","-7,29%"
"10.06.2020","46,653","45,880","47,051","45,674","9,30M","1,70%"
"09.06.2020","45,873","46,405","46,785","45,401","8,41M","-1,14%"
"08.06.2020","46,404","46,638","46,761","45,968","10,02M","-0,50%"
"07.06.2020","46,638","46,795","46,981","45,191","10,71M","-0,33%"
"06.06.2020","46,794","46,832","47,214","46,254","9,61M","-0,08%"
"05.06.2020","46,833","47,437","47,952","46,619","11,37M","-1,28%"
"04.06.2020","47,440","47,150","48,077","46,424","12,18M","0,62%"
"03.06.2020","47,149","46,016","47,493","45,331","12,43M","2,46%"
"02.06.2020","46,018","48,206","49,930","44,754","16,38M","-4,53%"
"01.06.2020","48,201","45,611","48,579","45,375","10,40M","5,68%"
"31.05.2020","45,611","47,730","47,790","45,182","12,40M","-4,47%"
"30.05.2020","47,746","44,502","48,011","44,208","13,38M","7,29%"
"29.05.2020","44,503","44,723","45,267","44,233","10,43M","-0,49%"
"28.05.2020","44,723","43,847","44,868","43,177","10,01M","2,00%"
"27.05.2020","43,847","42,274","43,991","42,231","9,38M","3,75%"
"26.05.2020","42,263","42,981","43,058","41,842","8,26M","-1,67%"
"25.05.2020","42,981","42,147","43,263","41,831","5,98M","1,97%"
"24.05.2020","42,152","43,874","44,533","42,152","9,73M","-3,93%"
"23.05.2020","43,875","44,203","44,735","43,705","8,00M","-0,76%"
"22.05.2020","44,210","42,931","44,643","42,391","10,41M","2,98%"
"21.05.2020","42,930","44,229","44,596","41,733","12,04M","-2,92%"
"20.05.2020","44,220","45,714","46,131","43,362","11,74M","-3,29%"
"19.05.2020","45,726","45,313","45,764","44,183","11,88M","0,91%"
"18.05.2020","45,313","43,670","46,503","43,655","16,79M","3,76%"
"17.05.2020","43,672","43,260","44,465","43,103","13,48M","0,94%"
"16.05.2020","43,264","42,737","43,863","42,512","12,69M","1,24%"
"15.05.2020","42,732","43,981","44,150","42,183","11,70M","-2,84%"
"14.05.2020","43,982","43,179","44,356","42,344","12,72M","1,86%"
"13.05.2020","43,178","42,184","43,735","41,959","10,54M","2,36%"
"12.05.2020","42,184","41,542","42,793","41,334","12,79M","1,37%"
"11.05.2020","41,613","42,101","42,849","39,575","15,36M","-1,19%"
"10.05.2020","42,115","47,019","47,019","39,993","18,60M","-10,43%"
"09.05.2020","47,020","47,711","49,088","46,951","10,08M","-1,48%"
"08.05.2020","47,725","47,364","48,398","46,390","10,76M","0,79%"
"07.05.2020","47,353","44,960","48,160","44,551","13,60M","5,31%"
"06.05.2020","44,963","46,549","47,526","44,822","10,17M","-3,41%"
"05.05.2020","46,549","46,971","47,736","45,826","8,21M","-0,90%"
"04.05.2020","46,971","48,049","48,159","45,236","13,18M","-2,29%"
"03.05.2020","48,073","49,214","49,929","46,847","13,38M","-2,32%"
"02.05.2020","49,212","47,089","49,529","46,774","11,06M","4,51%"
"01.05.2020","47,086","46,390","48,221","46,365","10,80M","1,48%"
"30.04.2020","46,400","48,805","50,800","45,859","14,83M","-4,92%"
"29.04.2020","48,802","45,732","49,844","45,710","18,11M","6,71%"
"28.04.2020","45,734","44,460","46,020","43,434","13,73M","2,87%"
"27.04.2020","44,460","44,565","45,190","43,240","21,97M","-0,24%"
"26.04.2020","44,566","44,376","45,370","43,861","23,95M","0,32%"
"25.04.2020","44,423","44,426","45,578","43,891","20,91M","-0,09%"
"24.04.2020","44,463","42,970","44,920","42,841","19,24M","3,49%"
"23.04.2020","42,965","41,818","43,876","41,003","23,77M","2,74%"
"22.04.2020","41,819","40,590","42,263","40,285","16,84M","3,03%"
"21.04.2020","40,589","40,229","41,280","40,038","15,12M","0,93%"
"20.04.2020","40,214","42,246","43,203","39,638","21,80M","-4,79%"
"19.04.2020","42,236","44,142","44,265","41,901","15,51M","-4,31%"
"18.04.2020","44,137","42,190","44,400","42,059","9,75M","4,58%"
"17.04.2020","42,206","42,547","42,983","41,640","8,90M","-0,80%"
"16.04.2020","42,547","39,336","43,549","38,012","12,58M","8,14%"
"15.04.2020","39,346","41,253","41,700","39,235","9,19M","-4,62%"
"14.04.2020","41,253","41,199","41,826","40,528","9,76M","0,13%"
"13.04.2020","41,199","42,020","42,030","39,763","18,78M","-1,96%"
"12.04.2020","42,021","42,531","43,559","41,857","12,09M","-1,20%"
"11.04.2020","42,532","42,270","43,136","41,488","10,71M","0,62%"
"10.04.2020","42,270","46,275","46,449","40,957","16,45M","-8,66%"
"09.04.2020","46,278","46,542","46,861","44,924","11,47M","-0,57%"
"08.04.2020","46,542","44,882","47,250","44,348","11,65M","3,69%"
"07.04.2020","44,885","45,008","47,605","43,864","12,25M","-0,28%"
"06.04.2020","45,011","40,342","45,014","40,307","18,09M","11,57%"
"05.04.2020","40,342","40,709","40,988","39,948","10,59M","-0,90%"
"04.04.2020","40,709","40,476","41,073","40,009","12,54M","0,53%"
"03.04.2020","40,493","39,906","41,238","39,682","14,52M","1,50%"
"02.04.2020","39,895","39,215","42,712","38,443","23,08M","1,74%"
"01.04.2020","39,214","39,058","39,429","37,200","21,16M","0,35%"
"31.03.2020","39,078","38,924","39,562","38,414","20,82M","0,40%"
"30.03.2020","38,923","37,194","39,605","37,180","17,05M","4,68%"
"29.03.2020","37,185","38,848","39,101","37,117","7,79M","-4,29%"
"28.03.2020","38,851","38,059","39,391","36,675","11,48M","2,09%"
"27.03.2020","38,056","40,412","41,131","38,003","9,22M","-5,83%"
"26.03.2020","40,413","39,181","40,444","38,517","8,58M","3,14%"
"25.03.2020","39,181","40,575","40,946","38,209","9,14M","-3,43%"
"24.03.2020","40,573","39,050","40,952","38,284","9,97M","3,90%"
"23.03.2020","39,051","35,429","39,770","34,839","12,43M","10,22%"
"22.03.2020","35,431","38,347","39,661","35,001","11,16M","-7,60%"
"21.03.2020","38,347","38,046","39,751","36,468","11,98M","0,79%"
"20.03.2020","38,045","38,976","43,486","34,473","18,67M","-2,38%"
"19.03.2020","38,974","34,709","40,566","34,033","16,87M","12,30%"
"18.03.2020","34,706","34,172","34,786","32,417","13,48M","1,53%"
"17.03.2020","34,184","33,134","35,779","32,536","14,09M","3,19%"
"16.03.2020","33,127","36,391","36,391","29,447","20,03M","-8,97%"
"15.03.2020","36,392","34,435","38,528","34,071","12,73M","5,67%"
"14.03.2020","34,440","37,556","37,637","33,872","14,03M","-8,29%"
"13.03.2020","37,552","29,852","39,837","24,353","40,42M","25,85%"
"12.03.2020","29,839","48,553","48,744","28,955","31,69M","-38,54%"
"11.03.2020","48,550","50,203","50,716","45,646","10,46M","-3,28%"
"10.03.2020","50,197","50,497","51,362","49,063","9,85M","-0,62%"
"09.03.2020","50,507","50,974","52,204","46,751","16,44M","-0,89%"
"08.03.2020","50,960","60,454","60,456","50,787","11,83M","-15,70%"
"07.03.2020","60,454","63,203","63,813","60,089","7,58M","-4,36%"
"06.03.2020","63,211","62,065","63,784","61,260","8,76M","1,86%"
"05.03.2020","62,057","60,346","63,188","60,346","9,15M","2,84%"
"04.03.2020","60,345","61,011","61,737","58,891","7,77M","-1,09%"
"03.03.2020","61,011","61,416","62,340","59,564","9,41M","-0,66%"
"02.03.2020","61,415","57,750","62,270","57,334","10,71M","6,31%"
"01.03.2020","57,768","58,078","60,217","56,293","9,85M","-0,53%"
"29.02.2020","58,078","59,904","61,582","58,062","8,87M","-3,05%"
"28.02.2020","59,904","61,672","63,302","56,953","13,75M","-2,87%"
"27.02.2020","61,671","60,589","64,980","57,313","15,07M","1,79%"
"26.02.2020","60,589","71,056","72,120","57,913","18,33M","-14,72%"
"25.02.2020","71,045","75,579","75,969","69,882","11,89M","-6,00%"
"24.02.2020","75,579","79,673","79,678","71,906","13,52M","-5,18%"
"23.02.2020","79,706","74,817","79,920","74,722","11,93M","6,53%"
"22.02.2020","74,818","73,288","76,642","72,422","11,56M","2,08%"
"21.02.2020","73,291","69,455","75,161","68,633","12,13M","5,52%"
"20.02.2020","69,455","70,782","72,339","66,495","12,45M","-1,87%"
"19.02.2020","70,782","77,173","79,041","68,264","12,10M","-8,28%"
"18.02.2020","77,173","73,357","78,911","70,217","10,64M","5,22%"
"17.02.2020","73,341","74,867","75,411","68,653","12,14M","-2,04%"
"16.02.2020","74,866","76,744","80,681","67,961","15,15M","-2,44%"
"15.02.2020","76,741","82,959","83,359","75,182","11,58M","-7,50%"
"14.02.2020","82,965","80,597","83,619","78,772","8,69M","2,93%"
"13.02.2020","80,601","81,194","84,086","77,481","13,61M","-0,73%"
"12.02.2020","81,190","76,524","82,741","76,507","10,96M","6,10%"
"11.02.2020","76,524","74,095","77,351","72,730","8,05M","3,27%"
"10.02.2020","74,100","77,023","77,426","72,362","9,46M","-3,80%"
"09.02.2020","77,023","76,613","78,372","75,148","7,52M","0,53%"
"08.02.2020","76,613","74,338","77,760","71,638","9,38M","3,06%"
"07.02.2020","74,338","73,594","75,420","72,663","8,35M","1,01%"
"06.02.2020","73,594","72,566","75,007","70,970","9,75M","1,42%"
"05.02.2020","72,563","68,067","73,382","67,668","8,84M","6,61%"
"04.02.2020","68,063","69,705","70,452","68,063","7,19M","-2,36%"
"03.02.2020","69,705","69,959","72,878","68,586","8,88M","-0,35%"
"02.02.2020","69,953","70,751","73,344","67,924","10,55M","-1,13%"
"01.02.2020","70,751","68,041","72,714","67,684","12,07M","3,98%"
"31.01.2020","68,044","67,967","69,762","65,535","12,17M","0,11%"
"30.01.2020","67,969","59,816","70,141","58,338","14,45M","13,63%"
"29.01.2020","59,817","60,554","62,387","59,491","7,98M","-1,21%"
"28.01.2020","60,549","58,574","61,551","57,468","9,03M","3,37%"
"27.01.2020","58,574","56,255","59,546","55,963","7,60M","4,12%"
"26.01.2020","56,255","53,269","56,395","52,919","5,43M","5,60%"
"25.01.2020","53,272","54,390","54,397","52,405","5,06M","-2,06%"
"24.01.2020","54,390","54,485","55,364","50,870","8,02M","-0,17%"
"23.01.2020","54,484","58,311","58,363","52,736","7,37M","-6,56%"
"22.01.2020","58,309","57,597","59,175","57,229","4,25M","1,24%"
"21.01.2020","57,597","57,200","58,084","56,066","4,50M","0,70%"
"20.01.2020","57,200","57,670","58,223","55,880","5,47M","-0,84%"
"19.01.2020","57,681","59,285","62,314","55,804","8,51M","-2,71%"
"18.01.2020","59,290","61,064","62,391","58,083","8,30M","-2,91%"
"17.01.2020","61,064","57,630","63,189","56,786","10,61M","5,96%"
"16.01.2020","57,632","58,184","58,463","54,932","8,17M","-0,94%"
"15.01.2020","58,180","58,535","58,535","55,378","11,65M","-0,61%"
"14.01.2020","58,539","49,594","60,711","49,590","15,70M","18,04%"
"13.01.2020","49,591","51,386","51,493","48,968","6,31M","-3,49%"
"12.01.2020","51,383","49,436","51,541","48,878","7,54M","3,93%"
"11.01.2020","49,438","49,050","51,859","47,964","9,34M","0,80%"
"10.01.2020","49,044","44,779","49,622","43,835","9,45M","9,51%"
"09.01.2020","44,784","45,375","45,788","43,978","6,20M","-1,30%"
"08.01.2020","45,374","46,397","48,446","44,345","9,59M","-2,21%"
"07.01.2020","46,400","45,778","46,654","44,631","9,54M","1,36%"
"06.01.2020","45,778","43,456","45,778","43,316","8,13M","5,34%"
"05.01.2020","43,458","42,855","43,458","42,727","7,15M","1,41%"
"04.01.2020","42,855","42,183","42,893","41,833","6,35M","1,61%"
"03.01.2020","42,178","39,558","42,321","38,972","7,14M","6,63%"
"02.01.2020","39,556","41,627","41,780","39,430","5,60M","-4,98%"
"01.01.2020","41,627","41,288","42,136","41,142","5,44M","0,82%"
"31.12.2019","41,287","42,425","43,032","41,111","7,30M","-2,68%"
"30.12.2019","42,425","43,154","44,180","41,871","8,90M","-1,68%"
"29.12.2019","43,152","42,751","43,698","42,151","10,14M","0,94%"
"28.12.2019","42,751","41,037","43,774","40,968","9,65M","4,16%"
"27.12.2019","41,044","40,087","41,044","39,763","8,09M","2,38%"
"26.12.2019","40,088","40,102","41,688","39,629","7,34M","-0,03%"
"25.12.2019","40,102","40,381","40,450","39,486","6,83M","-0,69%"
"24.12.2019","40,381","40,688","41,134","39,826","7,76M","-0,75%"
"23.12.2019","40,687","41,836","42,595","40,432","9,37M","-2,74%"
"22.12.2019","41,834","39,678","42,118","39,607","8,91M","5,43%"
"21.12.2019","39,678","40,098","40,118","39,447","6,02M","-1,04%"
"20.12.2019","40,097","39,639","40,381","39,303","6,53M","1,15%"
"19.12.2019","39,639","40,745","41,064","39,118","10,25M","-2,79%"
"18.12.2019","40,778","36,987","41,450","35,944","17,63M","10,25%"
"17.12.2019","36,986","39,984","40,136","36,501","15,75M","-7,50%"
"16.12.2019","39,984","43,472","43,598","39,306","11,06M","-8,02%"
"15.12.2019","43,472","43,273","44,000","42,931","6,72M","0,46%"
"14.12.2019","43,273","44,440","44,674","43,236","6,95M","-2,63%"
"13.12.2019","44,440","43,615","44,557","43,485","7,67M","1,89%"
"12.12.2019","43,615","44,144","44,324","42,982","8,31M","-1,20%"
"11.12.2019","44,145","44,109","44,944","43,484","6,13M","0,08%"
"10.12.2019","44,110","44,490","44,601","43,693","8,42M","-0,86%"
"09.12.2019","44,490","45,619","45,772","44,141","10,94M","-2,46%"
"08.12.2019","45,614","45,237","46,161","44,933","9,40M","0,83%"
"07.12.2019","45,237","45,345","46,267","45,060","10,12M","-0,24%"
"06.12.2019","45,346","44,799","45,513","44,181","10,76M","1,22%"
"05.12.2019","44,798","44,716","45,218","43,854","12,49M","0,16%"
"04.12.2019","44,725","45,158","46,771","44,177","13,79M","-0,95%"
"03.12.2019","45,156","45,613","46,201","44,665","11,24M","-1,00%"
"02.12.2019","45,611","47,517","47,707","44,923","11,72M","-4,01%"
"01.12.2019","47,517","47,523","48,455","45,733","10,57M","-0,01%"
"30.11.2019","47,523","48,614","48,808","47,025","10,48M","-2,25%"
"29.11.2019","48,615","46,868","49,254","46,826","11,63M","3,75%"
"28.11.2019","46,859","47,723","48,014","46,473","10,52M","-1,81%"
"27.11.2019","47,724","47,023","48,649","44,848","12,34M","1,50%"
"26.11.2019","47,017","45,605","47,465","45,404","10,77M","3,07%"
"25.11.2019","45,619","44,210","47,481","42,513","15,29M","3,18%"
"24.11.2019","44,212","48,182","48,310","43,951","11,83M","-8,24%"
"23.11.2019","48,180","47,422","48,516","46,293","10,76M","1,60%"
"22.11.2019","47,423","50,674","51,473","43,989","17,21M","-6,42%"
"21.11.2019","50,675","55,029","55,327","48,799","12,36M","-7,91%"
"20.11.2019","55,029","55,145","56,141","54,774","9,74M","-0,21%"
"19.11.2019","55,143","56,055","56,409","54,305","10,74M","-1,63%"
"18.11.2019","56,055","59,216","59,315","54,469","11,13M","-5,34%"
"17.11.2019","59,217","58,285","59,926","57,716","10,60M","1,60%"
"16.11.2019","58,285","57,758","58,956","57,358","9,73M","0,91%"
"15.11.2019","57,758","59,181","60,760","56,727","11,67M","-2,41%"
"14.11.2019","59,187","61,026","61,156","58,768","10,60M","-3,01%"
"13.11.2019","61,025","61,519","61,986","60,503","10,57M","-0,81%"
"12.11.2019","61,522","61,892","62,299","60,094","10,97M","-0,60%"
"11.11.2019","61,893","63,720","64,314","60,889","8,22M","-2,86%"
"10.11.2019","63,716","62,096","65,384","61,369","10,44M","2,61%"
"09.11.2019","62,093","60,450","62,363","60,262","6,86M","2,71%"
"08.11.2019","60,452","61,472","62,490","59,156","10,17M","-1,65%"
"07.11.2019","61,469","64,200","64,366","60,638","13,39M","-4,25%"
"06.11.2019","64,199","63,245","64,264","62,715","15,52M","1,52%"
"05.11.2019","63,238","61,442","64,084","61,226","17,68M","2,92%"
"04.11.2019","61,443","58,404","62,426","58,010","16,78M","5,22%"
